TIME_MS,MODE,TARGET,YAW,OUTPUT,KP,KI,KD
3730,1,30.0,-294.1642005731742,2000.0,8.0,0.1,1.5
3740,1,30.0,294.0785636653521,1000.0,8.0,0.1,1.5
3750,1,30.0,-294.1457691282772,2000.0,8.0,0.1,1.5
3760,1,30.0,294.10299837409735,1000.0,8.0,0.1,1.5
3770,1,30.0,-294.11751383544316,2000.0,8.0,0.1,1.5
3780,1,30.0,294.1325502898627,1000.0,8.0,0.1,1.5
3790,1,30.0,-294.0893050813688,2000.0,8.0,0.1,1.5
3800,1,30.0,294.15689607825726,1000.0,8.0,0.1,1.5
3810,1,30.0,-294.0709969954234,2000.0,8.0,0.1,1.5
3820,1,30.0,294.1675310549621,1000.0,8.0,0.1,1.5
3830,1,30.0,-294.0689851187545,2000.0,8.0,0.1,1.5
3840,1,30.0,294.1607401166441,1000.0,8.0,0.1,1.5
3850,1,30.0,-294.08397225776463,2000.0,8.0,0.1,1.5
3860,1,30.0,294.13889553343415,1000.0,8.0,0.1,1.5
3870,1,30.0,-294.1107229736149,2000.0,8.0,0.1,1.5
3880,1,30.0,294.10962824672015,1000.0,8.0,0.1,1.5
3890,1,30.0,-294.1398924716358,2000.0,8.0,0.1,1.5
3900,1,30.0,294.08316216177644,1000.0,8.0,0.1,1.5
3910,1,30.0,-294.161291006957,2000.0,8.0,0.1,1.5
3920,1,30.0,294.06874264350785,1000.0,8.0,0.1,1.5
3930,1,30.0,-294.167443455551,2000.0,8.0,0.1,1.5
3940,1,30.0,294.07140684449774,1000.0,8.0,0.1,1.5
3950,1,30.0,-294.1562005901169,2000.0,8.0,0.1,1.5
3960,1,30.0,294.0902240826909,1000.0,8.0,0.1,1.5
3970,1,30.0,-294.1314898670101,2000.0,8.0,0.1,1.5
3980,1,30.0,294.118620955411,1000.0,8.0,0.1,1.5
3990,1,30.0,-294.10194345274374,2000.0,8.0,0.1,1.5
4000,1,30.0,294.14667761803383,1000.0,8.0,0.1,1.5
4010,1,30.0,-294.0778827598768,2000.0,8.0,0.1,1.5
4020,1,30.0,294.16459307110995,1000.0,8.0,0.1,1.5
4030,1,30.0,-294.06771288065806,2000.0,8.0,0.1,1.5
4040,1,30.0,294.166108931449,1000.0,8.0,0.1,1.5
4050,1,30.0,-294.074986446488,2000.0,8.0,0.1,1.5
4060,1,30.0,294.1506956654231,1000.0,8.0,0.1,1.5
4070,1,30.0,-294.09716259156045,2000.0,8.0,0.1,1.5
4080,1,30.0,294.12373757029746,1000.0,8.0,0.1,1.5
4090,1,30.0,-294.12649455038974,2000.0,8.0,0.1,1.5
4100,1,30.0,294.09465188428874,1000.0,8.0,0.1,1.5
4110,1,30.0,-294.1527358258712,2000.0,8.0,0.1,1.5
